//X Y Z Nx Ny Nz
185079.96875000 -144.39422607 -4755.34130859 -0.456452 0.227473 0.860179
186405.42187500 -265.85791016 -3814.77441406 -0.650132 0.398682 0.646824
186512.40625000 -45.37173843 -843.76538086 -0.417660 0.251802 -0.873015
183437.12500000 -31.32105446 450.45339966 -0.493996 -0.045409 -0.868277
187093.10937500 -65.02859497 9209.75097656 -0.741929 0.070866 0.666723
190362.89062500 -12.45987701 14418.06738281 -0.955123 0.284861 -0.081205
190160.32812500 -380.50122070 14562.72070313 -0.846843 0.513371 -0.138947
189415.92187500 -504.18991089 15538.23925781 -0.560801 0.415224 -0.716304
187282.23437500 -217.03367615 16831.54882813 -0.369815 0.048695 -0.927828
186652.92187500 -129.89350891 17086.93554688 -0.366846 0.059596 -0.928371
185892.34375000 -253.25302124 17349.85546875 -0.316852 0.029034 -0.948031
184778.28125000 -115.04291534 17713.12304688 -0.276480 0.008526 -0.960982
182735.98437500 -749.36395264 -5330.30908203 -0.238973 0.473380 0.847822
182477.32812500 -991.15710449 -5261.16406250 -0.255393 0.568759 0.781848
183123.79687500 -1333.30310059 -4650.92480469 -0.280026 0.818176 0.502169
184933.53125000 -1183.45886230 -3177.21948242 -0.266487 0.963072 0.038424
183886.70312500 -1459.52429199 -3437.13085938 -0.272638 0.959941 0.064672
184856.92187500 -2982.46679688 12795.44042969 -0.335014 0.930594 0.147516
184702.31250000 -3080.80688477 13210.32910156 -0.331052 0.940398 0.077817
183726.25000000 -3426.76342773 13241.33691406 -0.323705 0.946118 0.008749
184041.54687500 -3332.15698242 13925.74414063 -0.353958 0.933873 0.050939
183850.29687500 -3376.93310547 14525.79687500 -0.341851 0.933672 -0.106744
185309.64062500 -2669.39770508 15408.56738281 -0.383360 0.905993 -0.179476
182461.31250000 -3945.23681641 14556.00292969 -0.379077 0.925357 0.003829
183776.43750000 -3351.38085938 15124.46875000 -0.360261 0.922212 -0.140488
185093.64062500 -2524.56713867 16084.78222656 -0.379658 0.833358 -0.401713
185083.71875000 -697.64013672 17540.75976563 -0.294030 0.251001 -0.922250
184263.37500000 -1251.45385742 17650.70312500 -0.287250 0.250093 -0.924630
183210.06250000 -1808.96704102 17886.40234375 -0.350116 0.195779 -0.916018
183053.96875000 -1869.63061523 17916.62890625 -0.321589 0.450224 -0.832994
182365.62500000 -2666.32836914 17905.89648438 -0.457307 0.380287 -0.803898
183166.76562500 -3147.92602539 16765.60351563 -0.469695 0.792510 -0.388992
182097.03125000 -4027.66601563 15612.89648438 -0.461099 0.877668 -0.130717
181481.15625000 -4239.95703125 16257.29003906 -0.433690 0.850403 -0.297873
171566.12500000 -4308.02294922 3826.88989258 -0.239544 0.869289 0.432384
173013.79687500 -4462.78613281 4941.25488281 -0.239544 0.869289 0.432384
171667.87500000 -4282.10644531 3831.40893555 -0.239544 0.869289 0.432384
170441.20312500 -4489.39941406 3566.05737305 -0.239544 0.869289 0.432384
170891.65625000 -4812.87109375 4465.07519531 -0.239544 0.869289 0.432384
170940.34375000 -4538.45214844 3941.63134766 -0.239544 0.869289 0.432384
171490.26562500 -4477.21435547 4124.17333984 -0.239544 0.869289 0.432384
172418.31250000 -4005.39746094 3693.05566406 -0.239544 0.869289 0.432384
171534.90625000 -4025.16894531 3242.15014648 -0.239544 0.869289 0.432384
169322.75000000 -5999.39648438 5971.62451172 -0.226051 0.869773 0.438629
169588.96875000 -6711.31738281 7516.41406250 -0.226051 0.869773 0.438629
169197.46875000 -6055.39013672 6017.98632813 -0.226051 0.869773 0.438629
168452.90625000 -6492.75488281 6487.19628906 -0.216638 0.868047 0.446723
168226.56250000 -7068.53564453 7501.36035156 -0.216638 0.868047 0.446723
168215.67187500 -6947.43115234 7259.73681641 -0.216638 0.868047 0.446723
169543.92187500 -7506.67187500 9063.35546875 -0.240168 0.865512 0.439553
169005.57812500 -7279.41015625 8322.78613281 -0.240168 0.865512 0.439553
168957.42187500 -7144.00976563 8030.84570313 -0.240168 0.865512 0.439553
168120.00000000 -7244.46826172 7793.60644531 -0.213234 0.869337 0.445852
167783.57812500 -7600.63085938 8328.78808594 -0.213234 0.869337 0.445852
167926.43750000 -7167.50390625 7550.80517578 -0.213234 0.869337 0.445852
167797.90625000 -6552.41162109 6287.70556641 -0.213234 0.869337 0.445852
167339.35937500 -7465.46484375 7852.56250000 -0.213234 0.869337 0.445852
166401.87500000 -6426.16308594 5410.29101563 -0.200225 0.870607 0.449393
167210.60937500 -7100.96093750 7080.50976563 -0.200225 0.870607 0.449393
167096.75000000 -6833.52392578 6510.76513672 -0.200225 0.870607 0.449393
166756.15625000 -7467.06542969 7588.15185547 -0.200225 0.870607 0.449393
166343.96875000 -7212.76806641 6918.01464844 -0.180926 0.875209 0.448637
166076.98437500 -7211.77539063 6808.48339844 -0.180926 0.875209 0.448637
165316.70312500 -8150.57031250 8333.04882813 -0.180926 0.875209 0.448637
165453.42187500 -8488.83593750 9047.87402344 -0.180926 0.875209 0.448637
165857.92187500 -7224.79296875 6745.59570313 -0.180926 0.875209 0.448637
165723.76562500 -6793.29296875 5848.92480469 -0.183769 0.874740 0.448396
165693.39062500 -7002.57324219 6245.13916016 -0.183769 0.874740 0.448396
165802.73437500 -6578.20751953 5461.14648438 -0.183769 0.874740 0.448396
164561.62500000 -6568.75097656 4960.23291016 -0.167761 0.876735 0.450767
164868.53125000 -8056.80566406 7976.01513672 -0.167761 0.876735 0.450767
164929.85937500 -8084.47900391 8052.86425781 -0.167761 0.876735 0.450767
164658.62500000 -8302.51953125 8386.36425781 -0.151969 0.881418 0.447222
164257.53125000 -7308.50146484 6297.96484375 -0.151969 0.881418 0.447222
164757.20312500 -8558.91113281 8923.37304688 -0.151969 0.881418 0.447222
163810.45312500 -8387.91015625 8266.25000000 -0.151969 0.881418 0.447222
163440.37500000 -7350.16406250 6102.87792969 -0.151772 0.880276 0.449533
162705.00000000 -7430.25244141 6011.07617188 -0.151772 0.880276 0.449533
